 sen rec ret cir top tok mess rush sil s_m s_n er
62 179814217.5 181521704.5 183134145.0 3068701.0 13.0 5.0 1000.0 True True 10.0 10.0 False
63 123950642.5 125367858.5 126539426.5 2659065.0 13.0 6.0 1000.0 True True 10.0 10.0 False
64 140391867.0 142208902.0 144090195.0 3269058.0 13.0 7.0 1000.0 True True 10.0 10.0 False
65 81287123.0 82713264.0 84131596.0 2796057.0 13.0 10.0 1000.0 True True 10.0 10.0 False
66 96724116.0 98303312.0 99611872.0 2769729.5 13.0 8.0 1000.0 True True 10.0 10.0 False
67 79238050.0 80602834.5 81888190.5 2624260.0 13.0 9.0 1000.0 True True 10.0 10.0 False
68 94727473.5 96466866.0 98233701.0 3648350.0 13.0 11.0 1000.0 True True 10.0 10.0 False
69 70649746.0 72118278.5 73682973.0 3100606.5 13.0 12.0 1000.0 True True 10.0 10.0 False
70 64890967.0 66606262.5 68017901.0 3084766.0 13.0 13.0 1000.0 True True 10.0 10.0 False
71 951563868.5 952866404.5 954346093.0 3026756.0 14.0 1.0 1000.0 True True 10.0 10.0 False
72 474437230.0 475845522.0 477363808.5 3087889.0 14.0 2.0 1000.0 True True 10.0 10.0 False
73 790936.5 797407.0 802316.0 11602.0 2.0 1.0 1000.0 True True 10.0 10.0 False
74 1383303.0 1413646.0 1437742.0 20080.0 2.0 2.0 1000.0 True True 10.0 10.0 False
75 8520254.0 8544797.0 8601914.0 92369.0 3.0 1.0 1000.0 True True 10.0 10.0 False
76 5280201.0 5348697.0 5400683.0 107095.0 3.0 2.0 1000.0 True True 10.0 10.0 False
77 3165533.0 3217741.0 3272404.0 92815.0 3.0 3.0 1000.0 True True 10.0 10.0 False
78 23150022.0 23243060.0 23342569.0 203033.0 4.0 1.0 1000.0 True True 10.0 10.0 False
79 19497433.0 19689533.0 19858876.5 311689.0 4.0 2.0 1000.0 True True 10.0 10.0 False
80 12286408.0 12458205.0 12630226.0 288932.0 4.0 3.0 1000.0 True True 10.0 10.0 False
81 4673333.0 4754992.0 4850262.5 165550.0 4.0 4.0 1000.0 True True 10.0 10.0 False
82 39551979.5 39664874.5 39864561.0 245425.0 5.0 1.0 1000.0 True True 10.0 10.0 False
83 20109655.5 20220320.0 20460836.5 258142.5 5.0 2.0 1000.0 True True 10.0 10.0 False
84 12709431.0 12863825.0 13003048.0 275322.0 5.0 3.0 1000.0 True True 10.0 10.0 False
85 10453755.0 10651879.0 10810290.0 289824.5 5.0 4.0 1000.0 True True 10.0 10.0 False
86 8154125.0 8310973.5 8474738.5 300533.5 5.0 5.0 1000.0 True True 10.0 10.0 False
87 75674037.0 75924147.0 76253909.0 423023.0 6.0 1.0 1000.0 True True 10.0 10.0 False
88 33936661.5 34253705.5 34464994.0 407851.0 6.0 2.0 1000.0 True True 10.0 10.0 False
89 22724990.0 22944981.0 23261802.0 388217.0 6.0 3.0 1000.0 True True 10.0 10.0 False
90 20452135.0 20738835.5 21011257.5 554660.0 6.0 4.0 1000.0 True True 10.0 10.0 False
91 19547633.5 19902829.5 20221659.0 655954.0 6.0 5.0 1000.0 True True 10.0 10.0 False
92 11538308.5 11800020.5 12054147.0 484156.0 6.0 6.0 1000.0 True True 10.0 10.0 False
93 356463573.0 358157226.5 360137134.0 3416759.0 14.0 3.0 1000.0 True True 10.0 10.0 False
94 292168319.0 293588658.5 294536221.5 2808551.5 15.0 3.0 1000.0 True True 10.0 10.0 False
95 227393147.0 228635219.5 230029232.0 2829747.0 15.0 4.0 1000.0 True True 10.0 10.0 False
96 178016816.5 179493380.5 180992033.5 2852505.0 15.0 5.0 1000.0 True True 10.0 10.0 False
97 143535981.0 144986665.0 146336500.0 2850496.0 15.0 6.0 1000.0 True True 10.0 10.0 False
98 136112107.0 136866676.0 139175453.5 2867230.5 15.0 7.0 1000.0 True True 10.0 10.0 False
99 109447826.0 111197035.0 112406310.0 2955806.0 15.0 8.0 1000.0 True True 10.0 10.0 False
100 95195788.0 96597164.0 98135085.0 2914307.0 15.0 10.0 1000.0 True True 10.0 10.0 False
101 86338187.0 88280612.5 89341293.5 2975440.0 15.0 11.0 1000.0 True True 10.0 10.0 False
102 101278752.0 103163390.5 104444285.0 2976332.5 15.0 9.0 1000.0 True True 10.0 10.0 False
103 79815690.5 81637858.0 83267924.0 3096813.5 15.0 12.0 1000.0 True True 10.0 10.0 False
104 77865679.5 79502216.0 81124920.0 3223319.0 15.0 13.0 1000.0 True True 10.0 10.0 False
105 65504975.0 67585730.5 68606920.0 3269949.5 15.0 14.0 1000.0 True True 10.0 10.0 False
106 68811738.5 70431318.5 72138805.0 3325728.0 15.0 15.0 1000.0 True True 10.0 10.0 False
107 1076649488.0 1077910971.5 1079539476.0 3131620.0 16.0 1.0 1000.0 True True 10.0 10.0 False
108 228245887.5 229816605.5 231361442.5 2977894.5 14.0 4.0 1000.0 True True 10.0 10.0 False
109 525299273.0 526923539.0 528406573.0 3064240.0 16.0 2.0 1000.0 True True 10.0 10.0 False
110 338284739.5 339448500.0 341077450.0 3110200.0 16.0 3.0 1000.0 True True 10.0 10.0 False
111 263033280.0 264387578.0 266132771.0 3109755.0 16.0 4.0 1000.0 True True 10.0 10.0 False
112 281415592.0 283342622.5 285339041.0 4097477.5 16.0 5.0 1000.0 True True 10.0 10.0 False
113 213311569.0 215365551.0 217388297.0 3958032.0 16.0 6.0 1000.0 True True 10.0 10.0 False
114 232812572.0 235336208.0 237970061.0 4519831.0 16.0 7.0 1000.0 True True 10.0 10.0 False
115 154624270.0 156933047.5 158411397.0 3832642.0 16.0 8.0 1000.0 True True 10.0 10.0 False
116 146694151.0 148935102.0 150747675.5 4344240.5 16.0 10.0 1000.0 True True 10.0 10.0 False
117 148660003.0 150910771.0 153106207.0 4142100.0 16.0 9.0 1000.0 True True 10.0 10.0 False
118 126645852.0 128752042.0 131093617.5 4156825.5 16.0 11.0 1000.0 True True 10.0 10.0 False
119 121519152.5 123468271.0 125668392.0 4350711.0 16.0 12.0 1000.0 True True 10.0 10.0 False
120 110036399.0 112049328.0 113919464.0 4351157.0 16.0 13.0 1000.0 True True 10.0 10.0 False
121 97204701.0 99416647.0 101489148.0 4242055.0 16.0 14.0 1000.0 True True 10.0 10.0 False
122 91981171.5 94193786.5 96127733.5 4196093.5 16.0 15.0 1000.0 True True 10.0 10.0 False
123 86536089.0 88790426.5 90851102.0 4450443.0 16.0 16.0 1000.0 True True 10.0 10.0 False
124 204356244.5 206153646.0 207944353.5 3308995.0 14.0 5.0 1000.0 True True 10.0 10.0 False
125 154466752.0 155932607.0 157707251.0 2977225.0 14.0 6.0 1000.0 True True 10.0 10.0 False
126 1857739111.5 1860423165.5 1863199366.0 5125807.0 17.0 1.0 1000.0 True True 10.0 10.0 False
127 862742875.5 864853528.0 867500099.0 4674226.0 17.0 2.0 1000.0 True True 10.0 10.0 False
128 547647871.5 549733982.0 552464220.0 4641205.0 17.0 3.0 1000.0 True True 10.0 10.0 False
129 109876203.0 111107566.5 112473466.0 2578968.0 14.0 7.0 1000.0 True True 10.0 10.0 False
130 89130674.5 90490327.5 91872737.5 2642108.5 14.0 8.0 1000.0 True True 10.0 10.0 False
131 408025300.0 410361296.0 413315540.5 4458028.5 17.0 4.0 1000.0 True True 10.0 10.0 False
132 320432322.5 322504153.5 324860453.5 4355173.5 17.0 5.0 1000.0 True True 10.0 10.0 False
133 291807098.0 293679689.0 296924872.5 5082969.5 17.0 6.0 1000.0 True True 10.0 10.0 False
134 236501974.5 238877686.0 241504846.0 4608184.0 17.0 7.0 1000.0 True True 10.0 10.0 False
135 167757839.5 170257379.0 172514840.0 4227106.0 17.0 8.0 1000.0 True True 10.0 10.0 False
136 174978235.5 177219186.0 179944516.0 4756778.0 17.0 10.0 1000.0 True True 10.0 10.0 False
137 207068857.0 209235065.0 212219653.0 5292250.0 17.0 9.0 1000.0 True True 10.0 10.0 False
138 181653565.0 184356807.0 187505829.0 5351598.0 17.0 11.0 1000.0 True True 10.0 10.0 False
139 153077872.0 155007133.0 158325721.5 5365654.0 17.0 12.0 1000.0 True True 10.0 10.0 False
140 134919565.0 136991173.5 140085979.0 5018489.5 17.0 13.0 1000.0 True True 10.0 10.0 False
141 143788545.5 146378223.0 148852549.5 5685598.5 17.0 14.0 1000.0 True True 10.0 10.0 False
142 124495039.0 128095196.0 129997015.0 5444413.0 17.0 15.0 1000.0 True True 10.0 10.0 False
